[GIN] 2022/10/20 - 18:54:06 | 200 |      1.6812ms |    172.20.21.91 | GET      "/api/sensor/recent/lamp/1"
[GIN] 2022/10/20 - 18:54:11 | 200 |      1.5542ms |    172.20.21.91 | GET      "/api/sensor/recent/temperature/1"
[GIN] 2022/10/20 - 18:54:11 | 200 |      1.3802ms |    172.20.21.91 | GET      "/api/sensor/recent/lamp/1"
[GIN] 2022/10/20 - 18:54:16 | 200 |      1.8487ms |    172.20.21.91 | GET      "/api/sensor/recent/temperature/1"
[GIN] 2022/10/20 - 18:54:16 | 200 |       1.172ms |    172.20.21.91 | GET      "/api/sensor/recent/lamp/1"
[GIN] 2022/10/20 - 18:54:21 | 200 |      2.3605ms |    172.20.21.91 | GET      "/api/sensor/recent/temperature/1"
[GIN] 2022/10/20 - 18:54:21 | 200 |      1.0928ms |    172.20.21.91 | GET      "/api/sensor/recent/lamp/1"
[GIN] 2022/10/20 - 18:54:26 | 200 |      2.1373ms |    172.20.21.91 | GET      "/api/sensor/recent/temperature/1"
[GIN] 2022/10/20 - 18:54:26 | 200 |       1.102ms |    172.20.21.91 | GET      "/api/sensor/recent/lamp/1"
[GIN] 2022/10/20 - 18:54:31 | 200 |       1.167ms |    172.20.21.91 | GET      "/api/sensor/recent/temperature/1"
[GIN] 2022/10/20 - 18:54:31 | 200 |      1.2162ms |    172.20.21.91 | GET      "/api/sensor/recent/lamp/1"
[GIN] 2022/10/20 - 18:54:36 | 200 |      1.4206ms |    172.20.21.91 | GET      "/api/sensor/recent/temperature/1"
[GIN] 2022/10/20 - 18:54:36 | 200 |         597µs |    172.20.21.91 | GET      "/api/sensor/recent/lamp/1"
[GIN] 2022/10/20 - 18:54:41 | 200 |      2.3148ms |    172.20.21.91 | GET      "/api/sensor/recent/temperature/1"
[GIN] 2022/10/20 - 18:54:41 | 200 |       588.3µs |    172.20.21.91 | GET      "/api/sensor/recent/lamp/1"
[GIN] 2022/10/20 - 18:54:46 | 200 |       924.9µs |    172.20.21.91 | GET      "/api/sensor/recent/temperature/1"
[GIN] 2022/10/20 - 18:54:46 | 200 |      1.1658ms |    172.20.21.91 | GET      "/api/sensor/recent/lamp/1"
[GIN] 2022/10/20 - 18:54:51 | 200 |      1.6075ms |    172.20.21.91 | GET      "/api/sensor/recent/temperature/1"
[GIN] 2022/10/20 - 18:54:51 | 200 |      1.1619ms |    172.20.21.91 | GET      "/api/sensor/recent/lamp/1"
[GIN] 2022/10/20 - 18:54:56 | 200 |      1.2992ms |    172.20.21.91 | GET      "/api/sensor/recent/temperature/1"
[GIN] 2022/10/20 - 18:54:56 | 200 |       631.2µs |    172.20.21.91 | GET      "/api/sensor/recent/lamp/1"
[GIN] 2022/10/20 - 18:55:01 | 200 |      2.0079ms |    172.20.21.91 | GET      "/api/sensor/recent/temperature/1"
[GIN] 2022/10/20 - 18:55:01 | 200 |      1.1188ms |    172.20.21.91 | GET      "/api/sensor/recent/lamp/1"
