[GIN] 2022/10/25 - 11:03:06 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/logout"
[GIN] 2022/10/25 - 11:03:06 | 200 |            0s |             ::1 | POST     "/api/manager/logout"
[GIN] 2022/10/25 - 11:03:08 | 200 |     50.1105ms |             ::1 | POST     "/api/manager/login"
[GIN] 2022/10/25 - 11:03:08 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/25 - 11:03:08 | 200 |       993.7µs |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 11:03:08 | 204 |            0s |             ::1 | OPTIONS  "/vue-element-admin/transaction/list"
[GIN] 2022/10/25 - 11:03:08 | 404 |            0s |             ::1 | GET      "/vue-element-admin/transaction/list"
[GIN] 2022/10/25 - 11:03:12 | 404 |            0s |             ::1 | GET      "/vue-element-admin/transaction/list"
[GIN] 2022/10/25 - 11:03:46 | 204 |       972.2µs |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/25 - 11:03:46 | 200 |       1.126ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 11:03:46 | 204 |            0s |             ::1 | OPTIONS  "/vue-element-admin/transaction/list"
[GIN] 2022/10/25 - 11:03:46 | 404 |            0s |             ::1 | GET      "/vue-element-admin/transaction/list"
[GIN] 2022/10/25 - 11:04:16 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/25 - 11:04:16 | 200 |       994.4µs |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 11:04:44 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/25 - 11:04:44 | 200 |       1.464ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 11:04:47 | 200 |       873.7µs |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 11:04:47 | 204 |            0s |             ::1 | OPTIONS  "/vue-element-admin/transaction/list"
[GIN] 2022/10/25 - 11:04:47 | 404 |            0s |             ::1 | GET      "/vue-element-admin/transaction/list"
[GIN] 2022/10/25 - 11:04:59 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/25 - 11:04:59 | 200 |      1.2549ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 11:06:14 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/25 - 11:06:14 | 200 |      1.1104ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 11:06:18 | 200 |      1.8622ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 11:06:18 | 204 |            0s |             ::1 | OPTIONS  "/vue-element-admin/transaction/list"
[GIN] 2022/10/25 - 11:06:18 | 404 |            0s |             ::1 | GET      "/vue-element-admin/transaction/list"
[GIN] 2022/10/25 - 11:11:37 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/25 - 11:11:37 | 200 |      2.7709ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 11:11:37 | 204 |            0s |             ::1 | OPTIONS  "/vue-element-admin/transaction/list"
[GIN] 2022/10/25 - 11:11:37 | 404 |            0s |             ::1 | GET      "/vue-element-admin/transaction/list"
[GIN] 2022/10/25 - 11:13:39 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/25 - 11:13:39 | 200 |      1.4415ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 11:13:39 | 204 |            0s |             ::1 | OPTIONS  "/vue-element-admin/transaction/list"
[GIN] 2022/10/25 - 11:13:39 | 404 |            0s |             ::1 | GET      "/vue-element-admin/transaction/list"
[GIN] 2022/10/25 - 11:13:52 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/logout"
[GIN] 2022/10/25 - 11:13:52 | 200 |            0s |             ::1 | POST     "/api/manager/logout"
[GIN] 2022/10/25 - 11:13:53 | 200 |     51.2076ms |             ::1 | POST     "/api/manager/login"
[GIN] 2022/10/25 - 11:13:53 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/25 - 11:13:53 | 200 |       749.9µs |             ::1 | GET      "/api/auth/detail"
