[GIN] 2022/11/25 - 08:32:48 | 200 |      1.0015ms | 192.168.117.127 | GET      "/api/sensor/recent/lamp/1"
[GIN] 2022/11/25 - 08:32:54 | 200 |      1.3996ms | 192.168.117.127 | GET      "/api/sensor/recent/temperature/1"
[GIN] 2022/11/25 - 08:32:54 | 200 |      1.0448ms | 192.168.117.127 | GET      "/api/sensor/recent/lamp/1"
[GIN] 2022/11/25 - 08:32:57 | 200 |       699.4µs | 192.168.117.127 | GET      "/api/book/all"
[GIN] 2022/11/25 - 08:32:59 | 200 |      1.9095ms | 192.168.117.127 | GET      "/api/sensor/recent/temperature/1"
[GIN] 2022/11/25 - 08:32:59 | 200 |      1.6098ms | 192.168.117.127 | GET      "/api/sensor/recent/lamp/1"
[GIN] 2022/11/25 - 08:33:01 | 200 |      1.1686ms | 192.168.117.127 | GET      "/api/sensor/recent/temperature/1"
[GIN] 2022/11/25 - 08:33:01 | 200 |       735.3µs | 192.168.117.127 | GET      "/api/sensor/recent/lamp/1"
[GIN] 2022/11/25 - 08:33:03 | 200 |      1.3992ms | 192.168.117.127 | GET      "/api/sensor/recent/temperature/1"
[GIN] 2022/11/25 - 08:33:03 | 200 |      1.6668ms | 192.168.117.127 | GET      "/api/sensor/recent/lamp/1"
[GIN] 2022/11/25 - 08:33:04 | 200 |      1.8769ms | 192.168.117.127 | GET      "/api/sensor/recent/temperature/1"
[GIN] 2022/11/25 - 08:33:04 | 200 |      1.2054ms | 192.168.117.127 | GET      "/api/sensor/recent/lamp/1"
[GIN] 2022/11/25 - 08:33:05 | 200 |     422.543ms | 192.168.117.127 | POST     "/api/actuator/control"
[GIN] 2022/11/25 - 08:33:08 | 200 |      1.2357ms | 192.168.117.127 | GET      "/api/sensor/recent/temperature/1"
[GIN] 2022/11/25 - 08:33:08 | 200 |      1.0722ms | 192.168.117.127 | GET      "/api/sensor/recent/lamp/1"
[GIN] 2022/11/25 - 08:33:09 | 200 |        1.32ms | 192.168.117.127 | GET      "/api/sensor/recent/temperature/1"
[GIN] 2022/11/25 - 08:33:09 | 200 |      1.1674ms | 192.168.117.127 | GET      "/api/sensor/recent/lamp/1"
