[GIN] 2022/10/20 - 13:11:19 | 200 |     54.0254ms |    172.20.21.91 | POST     "/api/auth/login"
[GIN] 2022/10/20 - 13:11:24 | 200 |      1.3861ms |    172.20.21.91 | GET      "/api/book/all"
[GIN] 2022/10/20 - 13:11:30 | 200 |      10.144ms |    172.20.21.91 | POST     "/api/book/add"
[GIN] 2022/10/20 - 13:11:30 | 200 |      1.7156ms |    172.20.21.91 | GET      "/api/book/all"
[GIN] 2022/10/20 - 13:11:30 | 200 |      3.3647ms |    172.20.21.91 | POST     "/api/book/reduce"
[GIN] 2022/10/20 - 13:11:30 | 200 |       567.7µs |    172.20.21.91 | GET      "/api/book/all"
[GIN] 2022/10/20 - 13:11:36 | 200 |      4.6788ms |    172.20.21.91 | POST     "/api/book/add"
[GIN] 2022/10/20 - 13:11:36 | 200 |      1.2227ms |    172.20.21.91 | GET      "/api/book/all"
[GIN] 2022/10/20 - 13:11:37 | 200 |      9.0373ms |    172.20.21.91 | POST     "/api/book/reduce"
[GIN] 2022/10/20 - 13:11:37 | 200 |      1.1514ms |    172.20.21.91 | GET      "/api/book/all"
[GIN] 2022/10/20 - 13:11:37 | 200 |      9.1055ms |    172.20.21.91 | POST     "/api/book/add"
[GIN] 2022/10/20 - 13:11:37 | 200 |       951.7µs |    172.20.21.91 | GET      "/api/book/all"
[GIN] 2022/10/20 - 13:11:38 | 200 |      9.4101ms |    172.20.21.91 | POST     "/api/book/reduce"
[GIN] 2022/10/20 - 13:11:38 | 200 |      1.6286ms |    172.20.21.91 | GET      "/api/book/all"
[GIN] 2022/10/20 - 13:11:38 | 200 |      5.9204ms |    172.20.21.91 | POST     "/api/book/add"
[GIN] 2022/10/20 - 13:11:38 | 200 |      1.4703ms |    172.20.21.91 | GET      "/api/book/all"
[GIN] 2022/10/20 - 13:11:38 | 200 |      9.7542ms |    172.20.21.91 | POST     "/api/book/reduce"
[GIN] 2022/10/20 - 13:11:38 | 200 |       1.158ms |    172.20.21.91 | GET      "/api/book/all"
[GIN] 2022/10/20 - 13:11:38 | 200 |      4.5075ms |    172.20.21.91 | POST     "/api/book/add"
[GIN] 2022/10/20 - 13:11:38 | 200 |       893.9µs |    172.20.21.91 | GET      "/api/book/all"
[GIN] 2022/10/20 - 13:11:39 | 200 |       4.349ms |    172.20.21.91 | POST     "/api/book/reduce"
[GIN] 2022/10/20 - 13:11:39 | 200 |      1.1201ms |    172.20.21.91 | GET      "/api/book/all"
