[GIN] 2022/10/25 - 15:27:36 | 200 |      1.9738ms |             ::1 | GET      "/api/book/all"
[GIN] 2022/10/25 - 15:27:58 | 204 |            0s |             ::1 | OPTIONS  "/api/book/all"
[GIN] 2022/10/25 - 15:27:58 | 200 |      1.1651ms |             ::1 | GET      "/api/book/all"
[GIN] 2022/10/25 - 15:29:24 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/25 - 15:29:24 | 200 |       808.7µs |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 15:29:25 | 204 |            0s |             ::1 | OPTIONS  "/api/book/all"
[GIN] 2022/10/25 - 15:29:25 | 200 |      1.9381ms |             ::1 | GET      "/api/book/all"
[GIN] 2022/10/25 - 15:29:49 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/25 - 15:29:49 | 200 |      1.6118ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 15:29:49 | 204 |            0s |             ::1 | OPTIONS  "/api/book/all"
[GIN] 2022/10/25 - 15:29:49 | 200 |       1.158ms |             ::1 | GET      "/api/book/all"
[GIN] 2022/10/25 - 15:30:50 | 204 |            0s |             ::1 | OPTIONS  "/api/book/all"
[GIN] 2022/10/25 - 15:30:50 | 200 |      1.9936ms |             ::1 | GET      "/api/book/all"
[GIN] 2022/10/25 - 15:30:54 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/25 - 15:30:54 | 200 |      1.1539ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 15:30:55 | 200 |      1.9964ms |             ::1 | GET      "/api/book/all"
[GIN] 2022/10/25 - 15:31:28 | 204 |            0s |             ::1 | OPTIONS  "/api/book/number/all"
[GIN] 2022/10/25 - 15:31:28 | 200 |      1.9311ms |             ::1 | GET      "/api/book/number/all"
[GIN] 2022/10/25 - 15:31:31 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/25 - 15:31:31 | 200 |      1.4701ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 15:31:32 | 204 |            0s |             ::1 | OPTIONS  "/api/book/all"
[GIN] 2022/10/25 - 15:31:32 | 200 |      1.8338ms |             ::1 | GET      "/api/book/all"
[GIN] 2022/10/25 - 15:31:32 | 200 |      1.2505ms |             ::1 | GET      "/api/book/number/all"
[GIN] 2022/10/25 - 15:32:30 | 204 |            0s |             ::1 | OPTIONS  "/api/book/number/all"
[GIN] 2022/10/25 - 15:32:30 | 200 |      1.1537ms |             ::1 | GET      "/api/book/number/all"
[GIN] 2022/10/25 - 15:32:35 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/25 - 15:32:35 | 200 |       970.1µs |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 15:32:36 | 204 |            0s |             ::1 | OPTIONS  "/api/book/all"
[GIN] 2022/10/25 - 15:32:36 | 200 |      1.4498ms |             ::1 | GET      "/api/book/all"
[GIN] 2022/10/25 - 15:32:36 | 204 |            0s |             ::1 | OPTIONS  "/api/book/number/all"
[GIN] 2022/10/25 - 15:32:36 | 200 |      2.3275ms |             ::1 | GET      "/api/book/number/all"
[GIN] 2022/10/25 - 15:33:10 | 204 |            0s |             ::1 | OPTIONS  "/api/book/number/all"
[GIN] 2022/10/25 - 15:33:10 | 200 |      4.0002ms |             ::1 | GET      "/api/book/number/all"
[GIN] 2022/10/25 - 15:33:13 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/25 - 15:33:13 | 200 |      1.2989ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 15:33:14 | 204 |            0s |             ::1 | OPTIONS  "/api/book/all"
[GIN] 2022/10/25 - 15:33:14 | 200 |       1.869ms |             ::1 | GET      "/api/book/all"
[GIN] 2022/10/25 - 15:33:14 | 200 |      1.6654ms |             ::1 | GET      "/api/book/number/all"
[GIN] 2022/10/25 - 15:34:31 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/25 - 15:34:31 | 200 |      2.1996ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 15:34:31 | 204 |            0s |             ::1 | OPTIONS  "/api/book/all"
[GIN] 2022/10/25 - 15:34:31 | 200 |       2.396ms |             ::1 | GET      "/api/book/all"
[GIN] 2022/10/25 - 15:34:31 | 204 |            0s |             ::1 | OPTIONS  "/api/book/number/all"
[GIN] 2022/10/25 - 15:34:31 | 200 |      1.8588ms |             ::1 | GET      "/api/book/number/all"
[GIN] 2022/10/25 - 15:34:48 | 204 |            0s |             ::1 | OPTIONS  "/api/book/all"
[GIN] 2022/10/25 - 15:34:48 | 204 |            0s |             ::1 | OPTIONS  "/api/book/number/all"
[GIN] 2022/10/25 - 15:34:48 | 200 |      1.9278ms |             ::1 | GET      "/api/book/all"
[GIN] 2022/10/25 - 15:34:48 | 200 |      1.9645ms |             ::1 | GET      "/api/book/number/all"
[GIN] 2022/10/25 - 15:35:33 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/25 - 15:35:33 | 200 |      1.1391ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 15:35:33 | 204 |            0s |             ::1 | OPTIONS  "/api/book/all"
[GIN] 2022/10/25 - 15:35:33 | 204 |            0s |             ::1 | OPTIONS  "/api/book/number/all"
[GIN] 2022/10/25 - 15:35:33 | 200 |      1.9689ms |             ::1 | GET      "/api/book/all"
[GIN] 2022/10/25 - 15:35:33 | 200 |      1.3404ms |             ::1 | GET      "/api/book/number/all"
[GIN] 2022/10/25 - 15:35:39 | 204 |            0s |             ::1 | OPTIONS  "/api/book/all"
[GIN] 2022/10/25 - 15:35:39 | 204 |            0s |             ::1 | OPTIONS  "/api/book/number/all"
[GIN] 2022/10/25 - 15:35:39 | 200 |      2.1289ms |             ::1 | GET      "/api/book/all"
[GIN] 2022/10/25 - 15:35:39 | 200 |      8.2224ms |             ::1 | GET      "/api/book/number/all"
[GIN] 2022/10/25 - 15:35:46 | 204 |            0s |             ::1 | OPTIONS  "/api/book/all"
[GIN] 2022/10/25 - 15:35:46 | 204 |            0s |             ::1 | OPTIONS  "/api/book/number/all"
[GIN] 2022/10/25 - 15:35:46 | 200 |      2.5333ms |             ::1 | GET      "/api/book/all"
[GIN] 2022/10/25 - 15:35:46 | 200 |      2.6396ms |             ::1 | GET      "/api/book/number/all"
[GIN] 2022/10/25 - 15:35:48 | 200 |       1.603ms |             ::1 | GET      "/api/book/all"
[GIN] 2022/10/25 - 15:35:48 | 200 |      1.5605ms |             ::1 | GET      "/api/book/number/all"
[GIN] 2022/10/25 - 15:36:06 | 204 |            0s |             ::1 | OPTIONS  "/api/book/number/all"
[GIN] 2022/10/25 - 15:36:06 | 200 |      2.9036ms |             ::1 | GET      "/api/book/number/all"
[GIN] 2022/10/25 - 15:36:10 | 200 |      1.5426ms |             ::1 | GET      "/api/book/number/all"
[GIN] 2022/10/25 - 15:36:45 | 204 |            0s |             ::1 | OPTIONS  "/api/book/number/all"
[GIN] 2022/10/25 - 15:36:45 | 204 |            0s |             ::1 | OPTIONS  "/api/book/number/all"
[GIN] 2022/10/25 - 15:36:45 | 200 |       895.8µs |             ::1 | GET      "/api/book/number/all"
[GIN] 2022/10/25 - 15:36:45 | 200 |      1.9095ms |             ::1 | GET      "/api/book/number/all"
[GIN] 2022/10/25 - 15:36:56 | 204 |            0s |             ::1 | OPTIONS  "/api/book/number/all"
[GIN] 2022/10/25 - 15:36:56 | 200 |      2.1022ms |             ::1 | GET      "/api/book/number/all"
[GIN] 2022/10/25 - 15:36:56 | 200 |      2.5823ms |             ::1 | GET      "/api/book/number/all"
[GIN] 2022/10/25 - 15:37:07 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/25 - 15:37:07 | 200 |      1.5278ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 15:37:07 | 204 |            0s |             ::1 | OPTIONS  "/api/book/all"
[GIN] 2022/10/25 - 15:37:07 | 200 |      1.0036ms |             ::1 | GET      "/api/book/all"
[GIN] 2022/10/25 - 15:37:07 | 204 |            0s |             ::1 | OPTIONS  "/api/book/number/all"
[GIN] 2022/10/25 - 15:37:07 | 200 |      2.4519ms |             ::1 | GET      "/api/book/number/all"
[GIN] 2022/10/25 - 15:37:07 | 200 |      2.4522ms |             ::1 | GET      "/api/book/number/all"
[GIN] 2022/10/25 - 15:37:15 | 204 |            0s |             ::1 | OPTIONS  "/api/book/number/all"
[GIN] 2022/10/25 - 15:37:15 | 204 |            0s |             ::1 | OPTIONS  "/api/book/number/rent"
[GIN] 2022/10/25 - 15:37:15 | 200 |      1.9634ms |             ::1 | GET      "/api/book/number/all"
[GIN] 2022/10/25 - 15:37:15 | 200 |      1.1177ms |             ::1 | GET      "/api/book/number/rent"
[GIN] 2022/10/25 - 15:37:20 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/25 - 15:37:20 | 200 |      1.0006ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 15:37:21 | 204 |            0s |             ::1 | OPTIONS  "/api/book/all"
[GIN] 2022/10/25 - 15:37:21 | 200 |      1.2273ms |             ::1 | GET      "/api/book/all"
[GIN] 2022/10/25 - 15:37:21 | 204 |            0s |             ::1 | OPTIONS  "/api/book/number/all"
[GIN] 2022/10/25 - 15:37:21 | 204 |            0s |             ::1 | OPTIONS  "/api/book/number/rent"
[GIN] 2022/10/25 - 15:37:21 | 200 |      2.4036ms |             ::1 | GET      "/api/book/number/all"
[GIN] 2022/10/25 - 15:37:21 | 200 |       1.401ms |             ::1 | GET      "/api/book/number/rent"
[GIN] 2022/10/25 - 15:37:54 | 204 |            0s |             ::1 | OPTIONS  "/api/book/number/all"
[GIN] 2022/10/25 - 15:37:54 | 204 |            0s |             ::1 | OPTIONS  "/api/book/number/rent"
[GIN] 2022/10/25 - 15:37:54 | 204 |            0s |             ::1 | OPTIONS  "/api/book/number/rent"
[GIN] 2022/10/25 - 15:37:54 | 200 |      2.4714ms |             ::1 | GET      "/api/book/number/rent"
[GIN] 2022/10/25 - 15:37:54 | 200 |      2.4714ms |             ::1 | GET      "/api/book/number/all"
[GIN] 2022/10/25 - 15:37:54 | 200 |      1.3706ms |             ::1 | GET      "/api/book/number/rent"
[GIN] 2022/10/25 - 15:38:01 | 204 |            0s |             ::1 | OPTIONS  "/api/book/number/all"
[GIN] 2022/10/25 - 15:38:01 | 204 |            0s |             ::1 | OPTIONS  "/api/book/number/rent"
[GIN] 2022/10/25 - 15:38:01 | 204 |            0s |             ::1 | OPTIONS  "/api/book/number/available"
[GIN] 2022/10/25 - 15:38:01 | 200 |      2.0085ms |             ::1 | GET      "/api/book/number/all"
[GIN] 2022/10/25 - 15:38:01 | 200 |      2.1936ms |             ::1 | GET      "/api/book/number/rent"
[GIN] 2022/10/25 - 15:38:01 | 200 |      2.0186ms |             ::1 | GET      "/api/book/number/available"
[GIN] 2022/10/25 - 15:38:02 | 200 |      1.0868ms |             ::1 | GET      "/api/book/number/rent"
[GIN] 2022/10/25 - 15:38:02 | 200 |      1.2665ms |             ::1 | GET      "/api/book/number/all"
[GIN] 2022/10/25 - 15:38:02 | 200 |      4.0692ms |             ::1 | GET      "/api/book/number/available"
[GIN] 2022/10/25 - 15:38:05 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/25 - 15:38:05 | 200 |      1.3271ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 15:38:05 | 204 |            0s |             ::1 | OPTIONS  "/api/book/all"
[GIN] 2022/10/25 - 15:38:05 | 200 |      1.1574ms |             ::1 | GET      "/api/book/all"
[GIN] 2022/10/25 - 15:38:05 | 200 |      1.2442ms |             ::1 | GET      "/api/book/number/all"
[GIN] 2022/10/25 - 15:38:05 | 200 |      1.0762ms |             ::1 | GET      "/api/book/number/rent"
[GIN] 2022/10/25 - 15:38:05 | 200 |      4.2201ms |             ::1 | GET      "/api/book/number/available"
[GIN] 2022/10/25 - 15:38:50 | 204 |            0s |             ::1 | OPTIONS  "/api/book/number/all"
[GIN] 2022/10/25 - 15:38:50 | 204 |            0s |             ::1 | OPTIONS  "/api/book/number/available"
[GIN] 2022/10/25 - 15:38:50 | 200 |      1.7338ms |             ::1 | GET      "/api/book/number/available"
[GIN] 2022/10/25 - 15:38:50 | 200 |      2.5959ms |             ::1 | GET      "/api/book/number/all"
[GIN] 2022/10/25 - 15:38:50 | 204 |            0s |             ::1 | OPTIONS  "/api/book/number/rent"
[GIN] 2022/10/25 - 15:38:50 | 200 |      1.7769ms |             ::1 | GET      "/api/book/number/rent"
[GIN] 2022/10/25 - 15:39:14 | 204 |            0s |             ::1 | OPTIONS  "/api/book/number/all"
[GIN] 2022/10/25 - 15:39:14 | 200 |      1.6326ms |             ::1 | GET      "/api/book/number/all"
[GIN] 2022/10/25 - 15:39:14 | 204 |            0s |             ::1 | OPTIONS  "/api/book/number/rent"
[GIN] 2022/10/25 - 15:39:14 | 200 |      1.0635ms |             ::1 | GET      "/api/book/number/rent"
[GIN] 2022/10/25 - 15:39:18 | 200 |      1.5585ms |             ::1 | GET      "/api/book/number/all"
[GIN] 2022/10/25 - 15:39:18 | 200 |       707.8µs |             ::1 | GET      "/api/book/number/rent"
[GIN] 2022/10/25 - 15:39:18 | 204 |            0s |             ::1 | OPTIONS  "/api/book/number/available"
[GIN] 2022/10/25 - 15:39:18 | 200 |      1.7369ms |             ::1 | GET      "/api/book/number/available"
[GIN] 2022/10/25 - 15:39:25 | 204 |            0s |             ::1 | OPTIONS  "/api/book/number/all"
[GIN] 2022/10/25 - 15:39:25 | 200 |      1.0016ms |             ::1 | GET      "/api/book/number/all"
[GIN] 2022/10/25 - 15:39:25 | 204 |            0s |             ::1 | OPTIONS  "/api/book/number/rent"
[GIN] 2022/10/25 - 15:39:25 | 200 |      1.8149ms |             ::1 | GET      "/api/book/number/rent"
[GIN] 2022/10/25 - 15:39:25 | 204 |            0s |             ::1 | OPTIONS  "/api/book/number/available"
[GIN] 2022/10/25 - 15:39:25 | 200 |       1.543ms |             ::1 | GET      "/api/book/number/available"
[GIN] 2022/10/25 - 15:40:02 | 204 |            0s |             ::1 | OPTIONS  "/api/book/number/all"
[GIN] 2022/10/25 - 15:40:02 | 200 |      1.0424ms |             ::1 | GET      "/api/book/number/all"
[GIN] 2022/10/25 - 15:40:02 | 204 |            0s |             ::1 | OPTIONS  "/api/book/number/rent"
[GIN] 2022/10/25 - 15:40:02 | 200 |      1.0177ms |             ::1 | GET      "/api/book/number/rent"
[GIN] 2022/10/25 - 15:40:02 | 204 |            0s |             ::1 | OPTIONS  "/api/book/number/available"
[GIN] 2022/10/25 - 15:40:02 | 200 |       900.1µs |             ::1 | GET      "/api/book/number/available"
[GIN] 2022/10/25 - 15:40:10 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/25 - 15:40:10 | 200 |      1.2274ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 15:40:10 | 204 |            0s |             ::1 | OPTIONS  "/api/book/all"
[GIN] 2022/10/25 - 15:40:10 | 204 |            0s |             ::1 | OPTIONS  "/api/book/number/all"
[GIN] 2022/10/25 - 15:40:10 | 200 |      1.9936ms |             ::1 | GET      "/api/book/all"
[GIN] 2022/10/25 - 15:40:10 | 200 |      1.9166ms |             ::1 | GET      "/api/book/number/all"
[GIN] 2022/10/25 - 15:40:10 | 204 |            0s |             ::1 | OPTIONS  "/api/book/number/rent"
[GIN] 2022/10/25 - 15:40:10 | 200 |      1.2863ms |             ::1 | GET      "/api/book/number/rent"
[GIN] 2022/10/25 - 15:40:10 | 204 |            0s |             ::1 | OPTIONS  "/api/book/number/available"
[GIN] 2022/10/25 - 15:40:10 | 200 |      1.9498ms |             ::1 | GET      "/api/book/number/available"
[GIN] 2022/10/25 - 15:40:20 | 204 |            0s |             ::1 | OPTIONS  "/api/book/number/all"
[GIN] 2022/10/25 - 15:40:20 | 200 |      2.2697ms |             ::1 | GET      "/api/book/number/all"
[GIN] 2022/10/25 - 15:40:20 | 204 |            0s |             ::1 | OPTIONS  "/api/book/number/rent"
[GIN] 2022/10/25 - 15:40:20 | 200 |      2.0438ms |             ::1 | GET      "/api/book/number/rent"
[GIN] 2022/10/25 - 15:40:20 | 204 |            0s |             ::1 | OPTIONS  "/api/book/number/available"
[GIN] 2022/10/25 - 15:40:20 | 200 |      1.2029ms |             ::1 | GET      "/api/book/number/available"
