[GIN] 2022/11/07 - 08:32:23 | 204 |            0s |             ::1 | OPTIONS  "/api/sensor/total/temperature"
[GIN] 2022/11/07 - 08:32:23 | 204 |            0s |             ::1 | OPTIONS  "/api/sensor/recent/temperature/7"
[GIN] 2022/11/07 - 08:32:23 | 200 |       1.788ms |             ::1 | GET      "/api/sensor/recent/temperature/7"
[GIN] 2022/11/07 - 08:32:23 | 200 |      3.7356ms |             ::1 | GET      "/api/sensor/total/temperature"
[GIN] 2022/11/07 - 08:32:23 | 204 |            0s |             ::1 | OPTIONS  "/api/sensor/total/humidity"
[GIN] 2022/11/07 - 08:32:23 | 200 |      5.0854ms |             ::1 | GET      "/api/sensor/total/humidity"
[GIN] 2022/11/07 - 08:32:23 | 204 |            0s |             ::1 | OPTIONS  "/api/sensor/total/light"
[GIN] 2022/11/07 - 08:32:23 | 200 |      3.7679ms |             ::1 | GET      "/api/sensor/total/light"
[GIN] 2022/11/07 - 08:32:23 | 204 |            0s |             ::1 | OPTIONS  "/api/sensor/total/lamp"
[GIN] 2022/11/07 - 08:32:23 | 200 |      3.9929ms |             ::1 | GET      "/api/sensor/total/lamp"
[GIN] 2022/11/07 - 08:32:23 | 204 |            0s |             ::1 | OPTIONS  "/api/sensor/total/fire"
[GIN] 2022/11/07 - 08:32:23 | 200 |      3.8392ms |             ::1 | GET      "/api/sensor/total/fire"
[GIN] 2022/11/07 - 08:32:24 | 204 |            0s |             ::1 | OPTIONS  "/api/sensor/all/page?page=1&limit=20&sort=%2Bid"
[GIN] 2022/11/07 - 08:32:24 | 200 |      6.4895ms |             ::1 | GET      "/api/sensor/all/page?page=1&limit=20&sort=%2Bid"
[GIN] 2022/11/07 - 08:32:24 | 200 |      2.8151ms |    172.20.21.93 | GET      "/api/sensor/recent/humidity/1"
[GIN] 2022/11/07 - 08:32:24 | 200 |      1.9119ms |    172.20.21.93 | GET      "/api/sensor/recent/lamp/1"
[GIN] 2022/11/07 - 08:32:27 | 200 |      1.6224ms |    172.20.21.93 | GET      "/api/sensor/recent/temperature/1"
[GIN] 2022/11/07 - 08:32:29 | 200 |       1.794ms |    172.20.21.93 | GET      "/api/sensor/recent/humidity/1"
[GIN] 2022/11/07 - 08:32:29 | 200 |      1.2194ms |    172.20.21.93 | GET      "/api/sensor/recent/lamp/1"
