[GIN] 2022/10/25 - 16:56:47 | 200 |      1.0196ms |             ::1 | GET      "/api/manager/all/user"
[GIN] 2022/10/25 - 16:56:50 | 204 |            0s |             ::1 | OPTIONS  "/api/book/all"
[GIN] 2022/10/25 - 16:56:50 | 204 |            0s |             ::1 | OPTIONS  "/api/book/number/all"
[GIN] 2022/10/25 - 16:56:50 | 200 |      1.7604ms |             ::1 | GET      "/api/book/all"
[GIN] 2022/10/25 - 16:56:50 | 200 |      2.1952ms |             ::1 | GET      "/api/book/number/all"
[GIN] 2022/10/25 - 16:56:50 | 204 |            0s |             ::1 | OPTIONS  "/api/book/number/rent"
[GIN] 2022/10/25 - 16:56:50 | 200 |      1.3137ms |             ::1 | GET      "/api/book/number/rent"
[GIN] 2022/10/25 - 16:56:50 | 204 |            0s |             ::1 | OPTIONS  "/api/book/number/available"
[GIN] 2022/10/25 - 16:56:50 | 200 |      1.8034ms |             ::1 | GET      "/api/book/number/available"
[GIN] 2022/10/25 - 16:56:50 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/all/user"
[GIN] 2022/10/25 - 16:56:50 | 200 |      1.7426ms |             ::1 | GET      "/api/manager/all/user"
[GIN] 2022/10/25 - 16:57:00 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/25 - 16:57:00 | 200 |      1.3278ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 16:57:00 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/all/user"
[GIN] 2022/10/25 - 16:57:00 | 200 |      1.5323ms |             ::1 | GET      "/api/manager/all/user"
[GIN] 2022/10/25 - 16:59:13 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/all/user"
[GIN] 2022/10/25 - 16:59:13 | 200 |       2.415ms |             ::1 | GET      "/api/manager/all/user"
[GIN] 2022/10/25 - 17:02:41 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/all/user"
[GIN] 2022/10/25 - 17:02:41 | 200 |      2.0899ms |             ::1 | GET      "/api/manager/all/user"
[GIN] 2022/10/25 - 17:04:27 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/all/user"
[GIN] 2022/10/25 - 17:04:27 | 200 |      1.2052ms |             ::1 | GET      "/api/manager/all/user"
[GIN] 2022/10/25 - 17:05:54 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/all/user"
[GIN] 2022/10/25 - 17:05:54 | 200 |       965.8µs |             ::1 | GET      "/api/manager/all/user"
[GIN] 2022/10/25 - 17:06:17 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/all/user"
[GIN] 2022/10/25 - 17:06:17 | 200 |      1.8419ms |             ::1 | GET      "/api/manager/all/user"
[GIN] 2022/10/25 - 17:07:02 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/all/user"
[GIN] 2022/10/25 - 17:07:02 | 200 |      2.3013ms |             ::1 | GET      "/api/manager/all/user"
[GIN] 2022/10/25 - 17:07:42 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/all/user"
[GIN] 2022/10/25 - 17:07:42 | 200 |      1.8409ms |             ::1 | GET      "/api/manager/all/user"
[GIN] 2022/10/25 - 17:08:20 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/all/user"
[GIN] 2022/10/25 - 17:08:20 | 200 |      1.9102ms |             ::1 | GET      "/api/manager/all/user"
[GIN] 2022/10/25 - 17:09:12 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/all/user"
[GIN] 2022/10/25 - 17:09:12 | 200 |      1.3961ms |             ::1 | GET      "/api/manager/all/user"
[GIN] 2022/10/25 - 17:09:38 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/all/user"
[GIN] 2022/10/25 - 17:09:38 | 200 |      1.4036ms |             ::1 | GET      "/api/manager/all/user"
[GIN] 2022/10/25 - 17:10:47 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/all/user"
[GIN] 2022/10/25 - 17:10:47 | 200 |      1.7041ms |             ::1 | GET      "/api/manager/all/user"
[GIN] 2022/10/25 - 17:14:48 | 204 |            0s |             ::1 | OPTIONS  "/vue-element-admin/article/update"
[GIN] 2022/10/25 - 17:14:48 | 404 |            0s |             ::1 | POST     "/vue-element-admin/article/update"
[GIN] 2022/10/25 - 17:43:42 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/25 - 17:43:42 | 200 |      1.6212ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 17:43:42 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/all/user"
[GIN] 2022/10/25 - 17:43:42 | 200 |      2.1444ms |             ::1 | GET      "/api/manager/all/user"
[GIN] 2022/10/25 - 17:59:55 | 204 |            0s |             ::1 | OPTIONS  "/api/book/all"
[GIN] 2022/10/25 - 17:59:55 | 204 |            0s |             ::1 | OPTIONS  "/api/book/number/all"
[GIN] 2022/10/25 - 17:59:55 | 200 |       2.981ms |             ::1 | GET      "/api/book/all"
[GIN] 2022/10/25 - 17:59:55 | 200 |      3.5908ms |             ::1 | GET      "/api/book/number/all"
[GIN] 2022/10/25 - 17:59:55 | 204 |            0s |             ::1 | OPTIONS  "/api/book/number/rent"
[GIN] 2022/10/25 - 17:59:55 | 200 |      1.4871ms |             ::1 | GET      "/api/book/number/rent"
[GIN] 2022/10/25 - 17:59:55 | 204 |            0s |             ::1 | OPTIONS  "/api/book/number/available"
[GIN] 2022/10/25 - 17:59:55 | 200 |      1.6717ms |             ::1 | GET      "/api/book/number/available"
[GIN] 2022/10/25 - 18:00:51 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/all/user"
[GIN] 2022/10/25 - 18:00:51 | 200 |      1.7561ms |             ::1 | GET      "/api/manager/all/user"
[GIN] 2022/10/25 - 18:10:27 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/all/user"
[GIN] 2022/10/25 - 18:10:27 | 200 |      1.4315ms |             ::1 | GET      "/api/manager/all/user"
[GIN] 2022/10/25 - 18:10:41 | 204 |            0s |             ::1 | OPTIONS  "/vue-element-admin/article/update"
[GIN] 2022/10/25 - 18:10:41 | 404 |            0s |             ::1 | POST     "/vue-element-admin/article/update"
[GIN] 2022/10/25 - 18:11:00 | 204 |            0s |             ::1 | OPTIONS  "/vue-element-admin/article/update"
[GIN] 2022/10/25 - 18:11:00 | 404 |            0s |             ::1 | POST     "/vue-element-admin/article/update"
[GIN] 2022/10/25 - 18:12:15 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/25 - 18:12:15 | 200 |      1.2132ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 18:12:16 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/all/user"
[GIN] 2022/10/25 - 18:12:16 | 200 |        1.84ms |             ::1 | GET      "/api/manager/all/user"
[GIN] 2022/10/25 - 18:13:00 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/all/user"
[GIN] 2022/10/25 - 18:13:00 | 200 |      1.5322ms |             ::1 | GET      "/api/manager/all/user"
[GIN] 2022/10/25 - 18:14:11 | 204 |            0s |             ::1 | OPTIONS  "/api/book/all"
[GIN] 2022/10/25 - 18:14:11 | 204 |            0s |             ::1 | OPTIONS  "/api/book/number/all"
[GIN] 2022/10/25 - 18:14:11 | 200 |       866.6µs |             ::1 | GET      "/api/book/all"
[GIN] 2022/10/25 - 18:14:11 | 200 |      1.3604ms |             ::1 | GET      "/api/book/number/all"
[GIN] 2022/10/25 - 18:14:11 | 204 |            0s |             ::1 | OPTIONS  "/api/book/number/rent"
[GIN] 2022/10/25 - 18:14:11 | 200 |      2.0585ms |             ::1 | GET      "/api/book/number/rent"
[GIN] 2022/10/25 - 18:14:11 | 204 |            0s |             ::1 | OPTIONS  "/api/book/number/available"
[GIN] 2022/10/25 - 18:14:11 | 200 |      2.1238ms |             ::1 | GET      "/api/book/number/available"
[GIN] 2022/10/25 - 18:15:05 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/all/user"
[GIN] 2022/10/25 - 18:15:05 | 200 |      3.0081ms |             ::1 | GET      "/api/manager/all/user"
[GIN] 2022/10/25 - 18:16:57 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/25 - 18:16:57 | 200 |      1.2853ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 18:16:57 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/all/user"
[GIN] 2022/10/25 - 18:16:57 | 200 |      2.0488ms |             ::1 | GET      "/api/manager/all/user"
[GIN] 2022/10/25 - 18:17:35 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/all/user"
[GIN] 2022/10/25 - 18:17:35 | 200 |         734µs |             ::1 | GET      "/api/manager/all/user"
[GIN] 2022/10/25 - 18:18:01 | 204 |            0s |             ::1 | OPTIONS  "/api/auth/detail"
[GIN] 2022/10/25 - 18:18:01 | 200 |      1.2165ms |             ::1 | GET      "/api/auth/detail"
[GIN] 2022/10/25 - 18:18:01 | 204 |            0s |             ::1 | OPTIONS  "/api/manager/all/user"
[GIN] 2022/10/25 - 18:18:01 | 200 |      1.2125ms |             ::1 | GET      "/api/manager/all/user"
